;ID;ENLACE;USUARIO;@CUENTA;FECHA;RETWEETS;FAVORITO;MENCIONA;HASHTAGS;GEO;TEXTO
0;1205817731754450945;https://twitter.com/Pepmacvla/status/1205817731754450945;Pepmacvla;;2019-12-14 11:52:04+00:00;0;0;;#ElArteViveEnLoja #TeatroBolivar;;Gracias Posi TV sin duda alguna #ElArteViveEnLoja No te lo pierdas del 13 al 15 de diciembre #TeatroBolivar Hoy función a las 19:00 Te esperamos! Universidad Técnica Particular de Loja - UTPL Fundación FEDES
1;1197991797013786624;https://twitter.com/luisdiazgut/status/1197991797013786624;luisdiazgut;;2019-11-22 21:34:36+00:00;1;2;@MinturZonal7 @FestivalDeLoja @festivaloffloja;#MiMejorMomentoFIAVL2019 #FelizViernesATodos #M #DisfrutaLaVida #ElArteViveEnLoja #love #Internacional;;"¡Feliz Viernes! ¿Y si vamos al festival? // #MiMejorMomentoFIAVL2019, recuerda que las 10 fotografías con mayor número de ""likes"" ganan. @MinturZonal7 @FestivalDeLoja @festivaloffloja #FelizViernesATodos #M #DisfrutaLaVida #ElArteViveEnLoja #love #Internacional"
2;1197127730166468609;https://twitter.com/MaricelaTorrest/status/1197127730166468609;MaricelaTorrest;;2019-11-20 12:21:07+00:00;6;6;;#FIAVL2019 #VisitaLoja #ElArteViveEnLoja #MiMejorMomentoFIAV2019 #MasTuyoQueNunca;;Rostros en el #FIAVL2019 No pueden perdérselo. Quedan aún cinco días #VisitaLoja #ElArteViveEnLoja #MiMejorMomentoFIAV2019 #MasTuyoQueNunca
3;1195951875155222530;https://twitter.com/danis_94/status/1195951875155222530;danis_94;;2019-11-17 06:28:41+00:00;0;1;;#FIAVL2019 #ElArteViveEnLoja #LojaParaElMundo;;Loja de antaño #FIAVL2019 #ElArteViveEnLoja #LojaParaElMundo
4;1195840360855027713;https://twitter.com/GabyGuarderasP/status/1195840360855027713;GabyGuarderasP;;2019-11-16 23:05:34+00:00;7;13;@FestivalDeLoja @joaordonezceli @ruthiabarcaj @germaniaquezada @GabyBorjaT @karinacasti14 @RosarioCordovaV @LetiCueva @DdiegopozoP;#ElArteViveEnLoja;;Arte y creatividad en este @FestivalDeLoja momentos para disfrutarlos con amigos o con la familia. #ElArteViveEnLoja @joaordonezceli @ruthiabarcaj @germaniaquezada @GabyBorjaT @karinacasti14 @RosarioCordovaV @LetiCueva @DdiegopozoP
5;1195462479205322758;https://twitter.com/ECU911Loja/status/1195462479205322758;ECU911Loja;;2019-11-15 22:04:00+00:00;2;4;@FestivalDeLoja;#ECU911 #ElArteViveEnLoja;;La tecnología y seguridad del #ECU911 a su servicio durante el @FestivalDeLoja #ElArteViveEnLoja 
6;1195428164366942210;https://twitter.com/Tame_EP/status/1195428164366942210;Tame_EP;;2019-11-15 19:47:39+00:00;2;1;;#YoVueloConTame #ElArteViveEnLoja;;Tame participa activamente en el desarrollo cultural del país. Asiste al Festival de Artes Vivas en la ciudad de Loja volando con Tame. • #YoVueloConTame #ElArteViveEnLoja 4to Festival Internacional de Artes Vivas Loja 2019 
7;1195402081370198018;https://twitter.com/ECU911Loja/status/1195402081370198018;ECU911Loja;;2019-11-15 18:04:00+00:00;4;2;@FestivalDeLoja;#VideovigilanciaECU911 #ElArteViveEnLoja;;Realizaremos un monitoreo permanente a través de #VideovigilanciaECU911 durante el @FestivalDeLoja #ElArteViveEnLoja 
8;1195356279507750912;https://twitter.com/ECU911Loja/status/1195356279507750912;ECU911Loja;;2019-11-15 15:02:00+00:00;1;0;@FestivalDeLoja;#ECU911 #ElArteViveEnLoja;;Todo el contingente operativo del #ECU911 a su servicio durante el @FestivalDeLoja #ElArteViveEnLoja 
9;1195333629909581830;https://twitter.com/ECU911Loja/status/1195333629909581830;ECU911Loja;;2019-11-15 13:32:00+00:00;2;2;@FestivalDeLoja;#ECU911 #ElArteViveEnLoja;;#ECU911 e instituciones articuladas trabajamos durante las 24 horas del día en el @FestivalDeLoja #ElArteViveEnLoja 
