;ID;ENLACE;USUARIO;@CUENTA;FECHA;RETWEETS;FAVORITO;MENCIONA;HASHTAGS;GEO;TEXTO
0;1201400396104658949;https://twitter.com/VelpVelp/status/1201400396104658949;VelpVelp;;2019-12-02 07:19:10+00:00;0;0;@ramiroxcris @VelpVelp;#fiavl2019 #FestivalLojaM #art #artist #artistic;;Nos veremos pronto.... Adios.... #fiavl2019 #FestivalLojaMásTuyoQueNunca akdpwx3 @ramiroxcris heisenber47 asce21.96 jiimmyveintimilla Darsam Wilmer Franklin Jr. @VelpVelp • • • #art #artist #artistic… https://www.instagram.com/p/B5j7gehABnV/?igshid=2nqwm3hgtugk
1;1201400308045402113;https://twitter.com/VelpVelp/status/1201400308045402113;VelpVelp;;2019-12-02 07:18:49+00:00;0;0;@ramiroxcris @VelpVelp;#fiavl2019 #FestivalLojaM #art #artist #artistic;;Nos veremos pronto.... Adios.... #fiavl2019 #FestivalLojaMásTuyoQueNunca akdpwx3 @ramiroxcris heisenber47 asce21.96 jiimmyveintimilla Darsam Wilmer Franklin Jr. @VelpVelp • • • #art #artist #artistic… https://www.instagram.com/p/B5j7dw4AW_e/?igshid=1n1gtxk2yg70b
2;1201400209948864512;https://twitter.com/VelpVelp/status/1201400209948864512;VelpVelp;;2019-12-02 07:18:25+00:00;0;0;@ramiroxcris @VelpVelp;#fiavl2019 #FestivalLojaM #art #artist #artistic;;Nos veremos pronto.... Adios.... #fiavl2019 #FestivalLojaMásTuyoQueNunca akdpwx3 @ramiroxcris heisenber47 asce21.96 jiimmyveintimilla Darsam Wilmer Franklin Jr. @VelpVelp • • • #art #artist #artistic… https://www.instagram.com/p/B5j7bCdgrbT/?igshid=p3vxegyz51qc
3;1201400103384289281;https://twitter.com/VelpVelp/status/1201400103384289281;VelpVelp;;2019-12-02 07:18:00+00:00;0;0;@ramiroxcris @VelpVelp;#fiavl2019 #FestivalLojaM #art #artist #artistic;;Nos veremos pronto.... Adios.... #fiavl2019 #FestivalLojaMásTuyoQueNunca akdpwx3 @ramiroxcris heisenber47 asce21.96 jiimmyveintimilla Darsam Wilmer Franklin Jr. @VelpVelp • • • #art #artist #artistic… https://www.instagram.com/p/B5j7X4XAWw1/?igshid=ptwrrwv7fkbb
4;1201392417238372352;https://twitter.com/VelpVelp/status/1201392417238372352;VelpVelp;;2019-12-02 06:47:27+00:00;0;0;@VelpVelp;#joker #FIAVL2019 #FestivalLojaM #draw #drawing #painting #color;; #joker Pegamos full... gracias por el apoyo mi gente.... #FIAVL2019 #FestivalLojaMásTuyoQueNunca akdpwx3 heisenber47 asce21.96 Wilmer Franklin Jr. @VelpVelp • • • #draw #drawing #painting #color… https://www.instagram.com/p/B5j33-fATNz/?igshid=109d9ihyodbuw
5;1201388822271086592;https://twitter.com/VelpVelp/status/1201388822271086592;VelpVelp;;2019-12-02 06:33:10+00:00;0;0;@ramiroxcris @VelpVelp;#SCRAT #fiavl2019 #FestivalLojaM;; #SCRAT No mismo la lluvia... #fiavl2019 #FestivalLojaMásTuyoQueNunca akdpwx3 jiimmyveintimilla @ramiroxcris Wilmer Franklin Jr. @VelpVelp en Loja, Ecuador https://www.instagram.com/p/B5j2PVzAmZU/?igshid=rj20h3puuxo3
6;1201382943215833088;https://twitter.com/VelpVelp/status/1201382943215833088;VelpVelp;;2019-12-02 06:09:48+00:00;0;0;@VelpVelp;#FestivalLojaM #FIAVL2019 #splash_mania__;; Haciendo un poco de bodypaint en las Artes Vivas... #FestivalLojaMásTuyoQueNunca #FIAVL2019 El atuncito se hizo venom... xd acori13 akdpwx3 Wilmer Franklin Jr. @VelpVelp • • • #splash_mania__… https://www.instagram.com/p/B5jzkQwgmDw/?igshid=1iqq3qfroucmb
7;1201368486066429954;https://twitter.com/VelpVelp/status/1201368486066429954;VelpVelp;;2019-12-02 05:12:22+00:00;0;0;@ramiroxcris @VelpVelp;#FIAVL2019 #FestivalLojaM #aliceinwonderland;; El Gato de Cheshire... Fotografía con el ex-alcalde... Junto a los artistas... akdpwx3 @ramiroxcris heisenber47 asce21.96 @VelpVelp #FIAVL2019 #FestivalLojaMásTuyoQueNunca #aliceinwonderland • • • … https://www.instagram.com/p/B5js_lBgfn6/?igshid=tt0uwlcd376c
8;1199450929801682944;https://twitter.com/rogoarte2/status/1199450929801682944;rogoarte2;;2019-11-26 22:12:41+00:00;5;6;;#FIAVL2019 #MiMejorMomentoFIAVL2019 #FestivalLojaMasTuyoQueNunca;;Terminó el #FIAVL2019 nos deja miles de mágicos momentos para compartir y soñar... #MiMejorMomentoFIAVL2019 #FestivalLojaMasTuyoQueNunca 
9;1199449826926243841;https://twitter.com/Cultura_Ec/status/1199449826926243841;Cultura_Ec;;2019-11-26 22:08:18+00:00;5;9;;#FIAVL2019 #FestivalLojaM;;#FIAVL2019 | Te invitamos a disfrutar de algunas instantáneas de lo que fue la clausura del #FestivalLojaMásTuyoQueNunca. ¡Gracias Ecuador, gracias Loja! Ver más https://bit.ly/2ONM1g7
