;ID;ENLACE;USUARIO;@CUENTA;FECHA;RETWEETS;FAVORITO;MENCIONA;HASHTAGS;GEO;TEXTO
0;1230187729968934912;https://twitter.com/XTASIXBAND/status/1230187729968934912;XTASIXBAND;;2020-02-19 17:49:45+00:00;0;0;@FestivalDeLoja @DerraStudio @cocacolafmec @teleamazonasec @quesuena_;#Manabi #CarnavalesManabi2020 #EvolucionyRaicesTourEcuador2020 #MusicON;;#Manabi !!! Tenemos el Inmenso Placer de Invitarlos a Que Disfruten este Próximo Domingo, Lunes y Martes en los #CarnavalesManabi2020 de Nuestra Música en el #EvolucionyRaicesTourEcuador2020 #MusicON !!! @FestivalDeLoja @DerraStudio @cocacolafmec @teleamazonasec @quesuena_
1;1229529884722069505;https://twitter.com/CPCCS/status/1229529884722069505;CPCCS;;2020-02-17 22:15:42+00:00;7;9;@FestivalDeLoja @Cultura_Ec;#Loja #Veedur #CPCCS;;#Loja | La #VeeduríaCiudadana que vigila el @FestivalDeLoja 2019, mantuvo reunión de trabajo en la delegación del #CPCCS, previa la visita del Viceministro de @Cultura_Ec, con quien se dialogará sobre temas de política cultural y las propuestas desde territorio.
2;1227296635673358337;https://twitter.com/XTASIXBAND/status/1227296635673358337;XTASIXBAND;;2020-02-11 18:21:34+00:00;0;1;@FestivalDeLoja @radioalfaec;#Ecuador #Quito #Musica #14DeFebrero #EvolucionyRaicesTourEcuador2020 #BearFoodBar #MusicON;;Mi Gente De #Ecuador!! #Quito Por Primera Vez Tenemos el Placer de Invitarlos a Disfrutar de Nuestra #Musica Este Próximo Viernes #14DeFebrero,Allí Te Esperamos en el Marco Principal de Nuestro #EvolucionyRaicesTourEcuador2020 #BearFoodBar #MusicON!!! @FestivalDeLoja @radioalfaec
3;1226714870877499392;https://twitter.com/marcekmacho/status/1226714870877499392;marcekmacho;;2020-02-10 03:49:51+00:00;0;0;@FestivalDeLoja;;;@FestivalDeLoja chicos, nos deben certificados a muchos que asistimos a talleres... dónde podemos reclamar, voy meses pidiendo y me dicen que ya se comunican !
4;1226714310036119552;https://twitter.com/marcekmacho/status/1226714310036119552;marcekmacho;FestivalDeLoja;2020-02-10 03:47:37+00:00;0;0;;;;Muchos seguimos esperando los certificados de los talleres que atendimos 
5;1226512247192682496;https://twitter.com/DamianVillamar4/status/1226512247192682496;DamianVillamar4;Produccion_Ecu;2020-02-09 14:24:41+00:00;0;1;;;;Buenos dias estimado Jackon que buen trabajo
6;1225451470750875648;https://twitter.com/Cultura_Ec/status/1225451470750875648;Cultura_Ec;;2020-02-06 16:09:33+00:00;8;8;@juanfervelasco @Museo_Loja @FestivalDeLoja;;;.@juanfervelasco indicó que en esta administración se reabrió el @Museo_Loja, el Museo y Centro Cultural Ibarra y el de Riobamba que permanecieron cerrados por varios años. Además el @FestivalDeLoja se realizará del 12 al 22 de noviembre y el invitado de honor es China. 
7;1224504234487504899;https://twitter.com/Cultura_Ec/status/1224504234487504899;Cultura_Ec;;2020-02-04 01:25:34+00:00;13;14;@TeatroBenjaminC @FestivalDeLoja @juanfervelasco;;;"""Esto ha permitido que se pueda programar en el @TeatroBenjaminC y que se realicen las cuatro ediciones del @FestivalDeLoja"", acota el Ministro @juanfervelasco."
8;1222910218532769794;https://twitter.com/Carlangas_as/status/1222910218532769794;Carlangas_as;sachacristo1;2020-01-30 15:51:31+00:00;0;0;@GoberLoja @CronicaLoja @QueHayEnLoja @GoberLoja @FestivalDeLoja @ECOTEL;;;@GoberLoja @CronicaLoja @QueHayEnLoja @GoberLoja @FestivalDeLoja Una vergüenza para Loja, tengan una Asambleísta que les haga quedar pésimo @ecotel
9;1222716583732305920;https://twitter.com/RonaldAntonCPI/status/1222716583732305920;RonaldAntonCPI;xkarinagonzalez;2020-01-30 03:02:05+00:00;0;0;;;;Tienen un buen teatro, yo dicte una conferencia hace años, es un patrimonio cultural extraordinario.
10;1220684252465025025;https://twitter.com/juancastropiano/status/1220684252465025025;juancastropiano;;2020-01-24 12:26:19+00:00;2;4;@FestivalDeLoja @TeatroBenjaminC @sinfonicaLoja @editoa;;;Mi querida Loja. @FestivalDeLoja 2017 @TeatroBenjaminC @sinfonicaLoja Trabajo cooperativo, éxito asegurado! Fotografía: @editoa.photography
11;1220337284895199232;https://twitter.com/davidorges/status/1220337284895199232;davidorges;juanfervelasco;2020-01-23 13:27:36+00:00;0;5;@lodelmomentoloj @FestivalDeLoja @UnidosPorLoja;;;"Aprende a respetar sinvergüenza, tu comentario ""gracioso"" esta fuera de lugar, incompetente @lodelmomentoloj @FestivalDeLoja @UnidosPorLoja"
12;1219829634025607169;https://twitter.com/estebansar/status/1219829634025607169;estebansar;;2020-01-22 03:50:22+00:00;0;4;@juanfervelasco @Cultura_Ec @FestivalDeLoja @MunicipioDeLoja @utpl @CPCCS @asambleadeloja;#Loja;;Una buena noticia para #Loja. @juanfervelasco @Cultura_Ec Ahora es hora de juntarse, para que el Teatro Benjamín Carrión Mora y el @FestivalDeLoja sean verdaderamente parte de nuestro patrimonio cultural. @MunicipioDeLoja @utpl @CPCCS @asambleadeloja
13;1219738641074921473;https://twitter.com/drmarcelo71/status/1219738641074921473;drmarcelo71;sinfonicaLoja;2020-01-21 21:48:48+00:00;0;0;;;;Gracia por regalarnos música hermosa, ahí estaré, Los acompañaremos así cierren todos los teatros
14;1219438929008627713;https://twitter.com/Cultura_Ec/status/1219438929008627713;Cultura_Ec;;2020-01-21 01:57:51+00:00;6;6;@FestivalDeLoja @juanfervelasco;;;China es el primer país invitado de honor en la quinta edición del @FestivalDeLoja, señala @juanfervelasco en este evento en el que se celebra el 40 aniversario de relaciones diplomáticas entre ambos países.
15;1219438649630248960;https://twitter.com/utpl/status/1219438649630248960;utpl;;2020-01-21 01:56:44+00:00;8;18;@FestivalDeLoja @Cultura_Ec;#SmartLand #FIAVL2019 #ObservatoriosUTPL;; Iniciativa #SmartLand contribuye al plan de acción interinstitucional de mejora del @FestivalDeLoja como política cultural territorial a través de evaluación cuantitativa del #FIAVL2019 realizada por #ObservatoriosUTPL en convenio con @Cultura_Ec. http://noticias.utpl.edu.ec/utpl-genera-informacion-del-festival-de-artes-vivas-2019
