;ID;ENLACE;USUARIO;@CUENTA;FECHA;RETWEETS;FAVORITO;MENCIONA;HASHTAGS;GEO;TEXTO
0;1229510805600772102;https://twitter.com/francisludena/status/1229510805600772102;francisludena;loja280c;2020-02-17 20:59:53+00:00;0;0;;;;Bieno es saberlo gracias
1;1229499302164287489;https://twitter.com/loja280c/status/1229499302164287489;loja280c;francisludena;2020-02-17 20:14:11+00:00;0;1;;;;No hubo premiación singular. Todos recibirán un reconocimiento y se publicarán los microcuentos.
2;1229484010826534912;https://twitter.com/francisludena/status/1229484010826534912;francisludena;loja280c;2020-02-17 19:13:25+00:00;0;0;;;;Y cuál fue el ganador del 2019??
3;1229481937963831297;https://twitter.com/bolivar_lojan/status/1229481937963831297;bolivar_lojan;;2020-02-17 19:05:11+00:00;0;0;@festivaloffloja @AlcaldiaLoja;#LojaHistoria280c;;"#LojaHistoria280c Matilde con ascendientes venezolanos proscritos nació en Loja. Al tiempo fue proscrita de su tierra y en consonancia y lejos de Loja escribió su poema ""El proscrito"". @festivaloffloja @AlcaldiaLoja"
4;1229481343580622854;https://twitter.com/bolivar_lojan/status/1229481343580622854;bolivar_lojan;;2020-02-17 19:02:49+00:00;0;0;@festivaloffloja;#LojaGente280c;;"#LojaGente280c Primero a pie y luego en escalada: bicicleta, carro de madera, carreta, jeep; iba de pueblo en pueblo con su música para animar todo sarao inclusive algunos entierros de empecinados parranderos. El loco flechita, todo un personaje pues. @festivaloffloja"
5;1229478474005524481;https://twitter.com/loja280c/status/1229478474005524481;loja280c;;2020-02-17 18:51:25+00:00;9;9;@festivaloffloja @AlcaldiaLoja;#LojaBicentenaria #LojaHistoria280c #LojaGente280c #LojaGastronom #LojaLeyendas280c #LojaBicentenaria280c #LojaMusical280c #LojaVarios280c;;"Preapertura del concurso ""Loja280c"" Desde hoy se inicia el concurso de microcuentos 2020 en honor a #LojaBicentenaria #LojaHistoria280c #LojaGente280c #LojaGastronomía280c #LojaLeyendas280c #LojaBicentenaria280c #LojaMusical280c #LojaVarios280c @festivaloffloja @AlcaldiaLoja"
6;1228855724849213440;https://twitter.com/nayeflorese/status/1228855724849213440;nayeflorese;loja280c;2020-02-16 01:36:50+00:00;0;0;;;;De acuerdo, gracias por la oportunidad.
7;1224554214040334336;https://twitter.com/longevrockband/status/1224554214040334336;longevrockband;;2020-02-04 04:44:10+00:00;0;0;@festivaloffloja;;;"Rock en el Túnel - 2019 @festivaloffloja ""Zombi"" https://www.instagram.com/p/B8IccFog7Jz/?igshid=1xkvi1d2q323l"
8;1223301019012075520;https://twitter.com/longevrockband/status/1223301019012075520;longevrockband;;2020-01-31 17:44:25+00:00;0;1;@festivaloffloja @MunicipioDeLoja @joseamusic @d70a03e0a2814ec;;;Gracias @festivaloffloja, @municipiodeloja a sus directivos @joseamusic @d70a03e0a2814ec por la invitación a nuestra banda, felices de haber formado parte de tremendisimo SHOW Internacional .... Rock en Túnel… https://www.instagram.com/p/B7_iwfvgIkS/?igshid=9fwdot9to8dw
9;1218182586687807488;https://twitter.com/3dmauri15/status/1218182586687807488;3dmauri15;sinfonicaLoja;2020-01-17 14:45:36+00:00;0;0;;;;24 de junio?
