;ID;ENLACE;USUARIO;@CUENTA;FECHA;RETWEETS;FAVORITO;MENCIONA;HASHTAGS;GEO;TEXTO
0;1228359495564156928;https://twitter.com/GKecuador/status/1228359495564156928;GKecuador;;2020-02-14 16:45:00+00:00;4;3;;;;El Teatro Benjamín Carrión se inauguró en 2016, durante la primera edición del Festival Internacional de Artes Vivas de Loja. Más de tres años después, el Ministerio de Cultura todavía no recibe oficialmente el teatro 
1;1225841221844832262;https://twitter.com/MinturZonal7/status/1225841221844832262;MinturZonal7;;2020-02-07 17:58:16+00:00;5;3;@DiarioLaHora @MaEulaliaMora @MinturZonal7;;;Hoy en entrevista con @DiarioLaHora, @MaEulaliaMora, Coordinadora @MinturZonal7 informa la presencia institucional vigente en las provincias a su cargo, así como acciones en la provincia de Loja con miras a los eventos: Festival de Artes Vivas, romería virgen del Cisne y otros. 
2;1225081741846687747;https://twitter.com/MinturZonal7/status/1225081741846687747;MinturZonal7;;2020-02-05 15:40:22+00:00;3;4;;#EnMediosLoja;;#EnMediosLoja | “Feria de Loja, Romería Virgen del Cisne, Florecimiento Guayacanes y Festival Internacional Artes Vivas, tendrán fuerza promocional a nivel país. Nuestra Ministra en cada una de sus intervenciones en medios nacionales lo ha potenciado y continuaremos ese camino” 
3;1224677267021975553;https://twitter.com/pichinchauniver/status/1224677267021975553;pichinchauniver;;2020-02-04 12:53:08+00:00;1;2;;#Loja #Sudam;; Es lamentable lo que sucede con el teatro en #Loja porque es el principal escenario del Festival de Artes Vivas, es uno de los seis mejores teatros de #Sudamérica y no haya fue administrado de manera eficiente y ahora se ha politizado el tema. 
4;1224676087797571589;https://twitter.com/pichinchauniver/status/1224676087797571589;pichinchauniver;;2020-02-04 12:48:27+00:00;2;1;;#Loja;; Al Festival de Artes Vivas de #Loja le han venido reduciendo los recursos. En 2017 destinó alrededor USD3 millones, 2018 USD2.6 millones y 2019 USD1.5 millones. Dicen que estamos en austeridad pero destinó USD2.5 millones para un circo social. 
5;1218885088395636736;https://twitter.com/Cultura_Ec/status/1218885088395636736;Cultura_Ec;;2020-01-19 13:17:05+00:00;58;64;;;; | El Observatorio Cultural Ciudadano de Loja entregó resultados de la cuarta edición del Festival Internacional de Artes Vivas Loja 2019. Más en el siguiente video 
6;1218658476995551233;https://twitter.com/ana_rocaco/status/1218658476995551233;ana_rocaco;juanfervelasco;2020-01-18 22:16:37+00:00;12;68;;;;Sólo falta que se lleven el festival de las artes vivas y terminan con el arte en Loja miserables, si tuvieras sangre en la cara no serias parte del peor gobierno de la historia
7;1218599631640244224;https://twitter.com/PabloRuizAguirr/status/1218599631640244224;PabloRuizAguirr;;2020-01-18 18:22:47+00:00;16;42;@juanfervelasco;;;Loja capital cultural del país queda sin su teatro Benjamín Carrión.Qué soluciones ofrece el Ministro del Cultura @juanfervelasco?En vez de estar cantando aquí en el festival de artes vivas para recomponer su imagen debería dar solución para que el teatr tenga abra las puertas 
8;1218293898075951104;https://twitter.com/ver_morei/status/1218293898075951104;ver_morei;MashiRafael;2020-01-17 22:07:54+00:00;0;0;;;;Es hora de visitar los medios de comunicación denunciando primero el presupuesto para arte y cultura, segundo, el retroceso que tuvo el año pasado el festival de artes vivas en Loja, y tercero, a advertir el riesgo que corre la Educación Cultural y Artistica.. 
9;1217494013428862977;https://twitter.com/sur_loja/status/1217494013428862977;sur_loja;;2020-01-15 17:09:27+00:00;6;9;;#Loja #FIAVL #CanalSurLoja;;¡Resultados del pasado Festival Internacional de Artes Vivas! #Loja En rueda de prensa el Ministro de Cultura y Patrimonio, el Alcalde de Loja y representantes del observatorio Smart Land de la UTPL se dio a conocer los resultados de la cuarta edición del #FIAVL. #CanalSurLoja
10;1217449503214665728;https://twitter.com/Cultura_Ec/status/1217449503214665728;Cultura_Ec;;2020-01-15 14:12:35+00:00;5;4;@Nodalcultura;;; NOTICIA| El Ministerio de Cultura y Patrimonio junto al Observatorio Cultural Ciudadano de Loja presentaron este martes los resultados obtenidos en la evaluación cuantitativa del 4to Festival Internacional de Artes Vivas (FIAVL) 2019. Vía @Nodalcultura https://bit.ly/2FVxsmw
11;1217230798220337153;https://twitter.com/UVtelevision/status/1217230798220337153;UVtelevision;;2020-01-14 23:43:32+00:00;0;0;;;;Con la presencia en Loja del ministro de Cultura, acompañado por autoridades locales, se realizó la rueda de prensa informativa sobre las estadísticas generadas en el último Festival Internacional de Artes Vivas desarrollado en nuestra ciudad.https://www.facebook.com/298611183926087/posts/858574557929744/
12;1217189585454882816;https://twitter.com/mcarrera776/status/1217189585454882816;mcarrera776;;2020-01-14 20:59:46+00:00;2;0;;;;El cuarto Festival de las Artes Vivas que se cumplió en Loja en noviembre de 2019 reporta escasa presencia de turistas asi lo refleja un informe de la Universidad Técnica de Loja. Los datos furron presentados al Ministro de Cultura Juan Fernando Velasco 
13;1217134285276295173;https://twitter.com/MunicipioDeLoja/status/1217134285276295173;MunicipioDeLoja;;2020-01-14 17:20:01+00:00;0;2;@BailonOficial;#BicentenarioDeLoja #JuntosAlBicentenario;;"@BailonOficial ""Queremos plantear que el 18 de noviembre, que se conmemora el #BicentenarioDeLoja se declare feriado nacional para que el Ecuador entero visite Loja y participe en la V edición del Festival de Artes Vivas 2020"". #JuntosAlBicentenario"
14;1216872091041046532;https://twitter.com/MunicipioDeLoja/status/1216872091041046532;MunicipioDeLoja;;2020-01-13 23:58:09+00:00;1;3;@Cultura_Ec;#JuntosAlBicentenario;;En reunión con el subsecretario de Emprendimientos, Artes e Innovación del @Cultura_Ec, José Daniel Flores, planificamos las actividades que desarrollaremos por el bicentenario de Loja y la quinta edición del Festival Internacional de Artes Vivas. #JuntosAlBicentenario
15;1215306010866397189;https://twitter.com/utpl/status/1215306010866397189;utpl;;2020-01-09 16:15:06+00:00;0;4;@catimier @ObservacomU;#Comunicaci;;@catimier, coordinadora de @ObservacomU expone sobre el tratamiento informativo de los medios de comunicación en el Festival Internacional de Artes Vivas Loja (FIAVL). Conversatorio #ComunicaciónUTPL
16;1215302213448486912;https://twitter.com/ObservacomU/status/1215302213448486912;ObservacomU;;2020-01-09 16:00:01+00:00;0;0;@catimier @ObservacomU @FestivalDeLoja;#FIAVL;;A continuación, @catimier coordinadora del @ObservacomU profundiza sobre el tratamiento informativo de los medios de comunicación en el Festival Internacional de Artes Vivas Loja, 2019 (@FestivalDeLoja - #FIAVL).
17;1214682556240683008;https://twitter.com/sur_loja/status/1214682556240683008;sur_loja;;2020-01-07 22:57:43+00:00;2;1;;#Loja #CanalSurLoja;;OBRAS 2020 #Loja En rueda de prensa el alcalde de Loja anunció los proyectos y obras que se ejecutarán en este 2020, entre ellos el asfaltado a 15 barrios y las gestiones para el quinto festival de artes vivas. #CanalSurLoja ¡Aquí te ves!
18;1211089198448619521;https://twitter.com/cardenisab/status/1211089198448619521;cardenisab;;2019-12-29 00:59:00+00:00;2;11;;;;2020 proyecto... El florecimiento de los guayacanes. Las ruinas de Ingapirca. La Momia de Guano. El festival de las Artes Vivas en Loja Guns en Quito. Los Tiestos y la Catedral nueva en Cuenca. Navidad en el pueblo. Un libro por mes. Aprender a conducir.
19;1207775109899063297;https://twitter.com/InfoNodal/status/1207775109899063297;InfoNodal;;2019-12-19 21:30:00+00:00;4;7;@Nodalcultura @d_cholakian @FestivalDeLoja;#Ecuador #NODALCultura;;.@Nodalcultura premiado en #Ecuador El editor de #NODALCultura Daniel Cholakian recibió un premio por su cobertura en la 4° edición del Festival de Artes Vivas de Loja ¡Felicidades @d_cholakian. Gracias @FestivalDeLoja! 
